Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10001,2024/1/1,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card
10002,2024/1/2,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal
10003,2024/1/3,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card
10004,2024/1/4,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card
10005,2024/1/5,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal
10006,2024/1/6,Sports,Wilson Evolution Basketball,5,29.99,149.95,Asia,Credit Card
10007,2024/1/7,Electronics,MacBook Pro 16-inch,1,2499.99,2499.99,North America,Credit Card
10008,2024/1/8,Home Appliances,Blueair Classic 480i,2,599.99,1199.98,Europe,PayPal
10009,2024/1/9,Clothing,Nike Air Force 1,6,89.99,539.94,Asia,Debit Card
10010,2024/1/10,Books,Dune by Frank Herbert,2,25.99,51.98,North America,Credit Card
10011,2024/1/11,Beauty Products,Chanel No. 5 Perfume,1,129.99,129.99,Europe,PayPal
10012,2024/1/12,Sports,Babolat Pure Drive Tennis Racket,3,199.99,599.97,Asia,Credit Card
10013,2024/1/13,Electronics,Samsung Galaxy Tab S8,2,749.99,1499.98,North America,Credit Card
10014,2024/1/14,Home Appliances,Keurig K-Elite Coffee Maker,1,189.99,189.99,Europe,PayPal
10015,2024/1/15,Clothing,North Face Down Jacket,2,249.99,499.98,Asia,Debit Card
10016,2024/1/16,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,35.99,107.97,North America,Credit Card
10017,2024/1/17,Beauty Products,Dyson Supersonic Hair Dryer,1,399.99,399.99,Europe,PayPal
10018,2024/1/18,Sports,Manduka PRO Yoga Mat,4,119.99,479.96,Asia,Credit Card
10019,2024/1/19,Electronics,Garmin Forerunner 945,2,499.99,999.98,North America,Credit Card
10020,2024/1/20,Home Appliances,Ninja Professional Blender,1,99.99,99.99,Europe,PayPal
10021,2024/1/21,Clothing,Zara Summer Dress,3,59.99,179.97,Asia,Debit Card
10022,2024/1/22,Books,Gone Girl by Gillian Flynn,2,22.99,45.98,North America,Credit Card
10023,2024/1/23,Beauty Products,Olay Regenerist Face Cream,1,49.99,49.99,Europe,PayPal
10024,2024/1/24,Sports,Adidas FIFA World Cup Football,3,29.99,89.97,Asia,Credit Card
10025,2024/1/25,Electronics,Bose QuietComfort 35 Headphones,1,299.99,299.99,North America,Credit Card
10026,2024/1/26,Home Appliances,Panasonic NN-SN966S Microwave,1,179.99,179.99,Europe,PayPal
10027,2024/1/27,Clothing,Adidas Ultraboost Shoes,2,179.99,359.98,Asia,Debit Card
10028,2024/1/28,Books,Pride and Prejudice by Jane Austen,3,12.99,38.97,North America,Credit Card
10029,2024/1/29,Beauty Products,MAC Ruby Woo Lipstick,1,29.99,29.99,Europe,PayPal
10030,2024/1/30,Sports,Nike Air Zoom Pegasus 37,2,129.99,259.98,Asia,Credit Card
10031,2024/1/31,Electronics,Sony WH-1000XM4 Headphones,2,349.99,699.98,North America,Credit Card
10032,2024/2/1,Home Appliances,Instant Pot Duo,3,89.99,269.97,Europe,PayPal
10033,2024/2/2,Clothing,Under Armour HeatGear T-Shirt,5,29.99,149.95,Asia,Debit Card
10034,2024/2/3,Books,1984 by George Orwell,4,19.99,79.96,North America,Credit Card
10035,2024/2/4,Beauty Products,L'Oreal Revitalift Serum,2,39.99,79.98,Europe,PayPal
10036,2024/2/5,Sports,Peloton Bike,1,1895,1895,Asia,Credit Card
10037,2024/2/6,Electronics,Apple Watch Series 8,3,399.99,1199.97,North America,Credit Card
10038,2024/2/7,Home Appliances,Roomba i7+,2,799.99,1599.98,Europe,PayPal
10039,2024/2/8,Clothing,Columbia Fleece Jacket,4,59.99,239.96,Asia,Debit Card
10040,2024/2/9,Books,Harry Potter and the Sorcerer's Stone,3,24.99,74.97,North America,Credit Card
10041,2024/2/10,Beauty Products,Estee Lauder Advanced Night Repair,1,105,105,Europe,PayPal
10042,2024/2/11,Sports,Fitbit Charge 5,2,129.99,259.98,Asia,Credit Card
10043,2024/2/12,Electronics,GoPro HERO10 Black,3,399.99,1199.97,North America,Credit Card
10044,2024/2/13,Home Appliances,Nespresso VertuoPlus,1,199.99,199.99,Europe,PayPal
10045,2024/2/14,Clothing,Patagonia Better Sweater,2,139.99,279.98,Asia,Debit Card
10046,2024/2/15,Books,Becoming by Michelle Obama,4,32.5,130,North America,Credit Card
10047,2024/2/16,Beauty Products,Clinique Moisture Surge,1,52,52,Europe,PayPal
10048,2024/2/17,Sports,Yeti Rambler Tumbler,6,39.99,239.94,Asia,Credit Card
10049,2024/2/18,Electronics,Kindle Paperwhite,2,129.99,259.98,North America,Credit Card
10050,2024/2/19,Home Appliances,Breville Smart Oven,1,299.99,299.99,Europe,PayPal
10051,2024/2/20,Clothing,Ray-Ban Aviator Sunglasses,3,154.99,464.97,Asia,Debit Card
10052,2024/2/21,Books,The Silent Patient by Alex Michaelides,2,26.99,53.98,North America,Credit Card
10053,2024/2/22,Beauty Products,Shiseido Ultimate Sun Protector,1,49,49,Europe,PayPal
10054,2024/2/23,Sports,Titleist Pro V1 Golf Balls,5,49.99,249.95,Asia,Credit Card
10055,2024/2/24,Electronics,Anker PowerCore Portable Charger,4,59.99,239.96,North America,Credit Card
10056,2024/2/25,Home Appliances,KitchenAid Artisan Stand Mixer,1,499.99,499.99,Europe,PayPal
10057,2024/2/26,Clothing,Calvin Klein Boxer Briefs,5,29.99,149.95,Asia,Debit Card
10058,2024/2/27,Books,Educated by Tara Westover,3,28,84,North America,Credit Card
10059,2024/2/28,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23,46,Europe,PayPal
10060,2024/2/29,Sports,Hyperice Hypervolt Massager,1,349,349,Asia,Credit Card
10061,2024/3/1,Electronics,Nintendo Switch,3,299.99,899.97,North America,Credit Card
10062,2024/3/2,Home Appliances,Philips Airfryer XXL,2,199.99,399.98,Europe,PayPal
10063,2024/3/3,Clothing,Hanes ComfortSoft T-Shirt,10,9.99,99.9,Asia,Debit Card
10064,2024/3/4,Books,Where the Crawdads Sing by Delia Owens,4,18.99,75.96,North America,Credit Card
10065,2024/3/5,Beauty Products,Lancome La Vie Est Belle,1,102,102,Europe,PayPal
10066,2024/3/6,Sports,Garmin Edge 530,2,299.99,599.98,Asia,Credit Card
10067,2024/3/7,Electronics,Samsung QLED 4K TV,1,1199.99,1199.99,North America,Credit Card
10068,2024/3/8,Home Appliances,Eufy RoboVac 11S,3,219.99,659.97,Europe,PayPal
10069,2024/3/9,Clothing,Puma Suede Classic Sneakers,4,59.99,239.96,Asia,Debit Card
10070,2024/3/10,Books,The Great Gatsby by F. Scott Fitzgerald,2,10.99,21.98,North America,Credit Card
10071,2024/3/11,Beauty Products,Drunk Elephant C-Firma Day Serum,1,78,78,Europe,PayPal
10072,2024/3/12,Sports,Nike Metcon 6,3,129.99,389.97,Asia,Credit Card
10073,2024/3/13,Electronics,HP Spectre x360 Laptop,1,1599.99,1599.99,North America,Credit Card
10074,2024/3/14,Home Appliances,De'Longhi Magnifica Espresso Machine,1,899.99,899.99,Europe,PayPal
10075,2024/3/15,Clothing,Tommy Hilfiger Polo Shirt,5,49.99,249.95,Asia,Debit Card
10076,2024/3/16,Books,To Kill a Mockingbird by Harper Lee,4,14.99,59.96,North America,Credit Card
10077,2024/3/17,Beauty Products,Glossier Boy Brow,2,16,32,Europe,PayPal
10078,2024/3/18,Sports,Rogue Fitness Kettlebell,3,69.99,209.97,Asia,Credit Card
10079,2024/3/19,Electronics,Apple AirPods Pro,2,249.99,499.98,North America,Credit Card
10080,2024/3/20,Home Appliances,Dyson Pure Cool Link,1,499.99,499.99,Europe,PayPal
10081,2024/3/21,Clothing,Levi's Trucker Jacket,2,89.99,179.98,Asia,Debit Card
10082,2024/3/22,Books,The Hobbit by J.R.R. Tolkien,3,12.99,38.97,North America,Credit Card
10083,2024/3/23,Beauty Products,Charlotte Tilbury Magic Cream,1,100,100,Europe,PayPal
10084,2024/3/24,Sports,Spalding NBA Street Basketball,6,24.99,149.94,Asia,Credit Card
10085,2024/3/25,Electronics,Ring Video Doorbell,1,99.99,99.99,North America,Credit Card
10086,2024/3/26,Home Appliances,LG OLED TV,2,1299.99,2599.98,Europe,PayPal
10087,2024/3/27,Clothing,Uniqlo Ultra Light Down Jacket,3,79.99,239.97,Asia,Debit Card
10088,2024/3/28,Books,The Catcher in the Rye by J.D. Salinger,4,13.99,55.96,North America,Credit Card
10089,2024/3/29,Beauty Products,Sunday Riley Good Genes,1,105,105,Europe,PayPal
10090,2024/3/30,Sports,On Running Cloud Shoes,2,129.99,259.98,Asia,Credit Card
10091,2024/3/31,Electronics,Logitech MX Master 3 Mouse,2,99.99,199.98,North America,Credit Card
10092,2024/4/1,Home Appliances,Instant Pot Duo Crisp,1,179.99,179.99,Europe,PayPal
10093,2024/4/2,Clothing,Adidas Originals Superstar Sneakers,4,79.99,319.96,Asia,Debit Card
10094,2024/4/3,Books,The Alchemist by Paulo Coelho,3,14.99,44.97,North America,Credit Card
10095,2024/4/4,Beauty Products,Tatcha The Water Cream,1,68,68,Europe,PayPal
10096,2024/4/5,Sports,Garmin Fenix 6X Pro,1,999.99,999.99,Asia,Credit Card
10097,2024/4/6,Electronics,Bose SoundLink Revolve+ Speaker,3,299.99,899.97,North America,Credit Card
10098,2024/4/7,Home Appliances,Vitamix Explorian Blender,1,349.99,349.99,Europe,PayPal
10099,2024/4/8,Clothing,Gap Essential Crewneck T-Shirt,6,19.99,119.94,Asia,Debit Card
10100,2024/4/9,Books,The Power of Now by Eckhart Tolle,2,12.99,25.98,North America,Credit Card
10101,2024/4/10,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,82,82,Europe,PayPal
10102,2024/4/11,Sports,Under Armour HOVR Sonic 4 Shoes,2,109.99,219.98,Asia,Credit Card
10103,2024/4/12,Electronics,Canon EOS R5 Camera,1,3899.99,3899.99,North America,Credit Card
10104,2024/4/13,Home Appliances,Shark IQ Robot Vacuum,2,349.99,699.98,Europe,PayPal
10105,2024/4/14,Clothing,H&M Slim Fit Jeans,3,39.99,119.97,Asia,Debit Card
10106,2024/4/15,Books,The Girl on the Train by Paula Hawkins,4,10.99,43.96,North America,Credit Card
10107,2024/4/16,Beauty Products,The Ordinary Niacinamide Serum,1,6.5,6.5,Europe,PayPal
10108,2024/4/17,Sports,Bowflex SelectTech 552 Dumbbells,1,399.99,399.99,Asia,Credit Card
10109,2024/4/18,Electronics,Google Nest Hub Max,2,229.99,459.98,North America,Credit Card
10110,2024/4/19,Home Appliances,Cuisinart Griddler Deluxe,1,159.99,159.99,Europe,PayPal
10111,2024/4/20,Clothing,Old Navy Relaxed-Fit T-Shirt,4,14.99,59.96,Asia,Debit Card
10112,2024/4/21,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,18.99,37.98,North America,Credit Card
10113,2024/4/22,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,15,15,Europe,PayPal
10114,2024/4/23,Sports,Fitbit Versa 3,3,229.95,689.85,Asia,Credit Card
10115,2024/4/24,Electronics,Amazon Echo Show 10,1,249.99,249.99,North America,Credit Card
10116,2024/4/25,Home Appliances,Breville Smart Grill,2,299.95,599.9,Europe,PayPal
10117,2024/4/26,Clothing,Gap High Rise Skinny Jeans,3,49.99,149.97,Asia,Debit Card
10118,2024/4/27,Books,Atomic Habits by James Clear,4,16.99,67.96,North America,Credit Card
10119,2024/4/28,Beauty Products,CeraVe Hydrating Facial Cleanser,2,14.99,29.98,Europe,PayPal
10120,2024/4/29,Sports,YETI Hopper Flip Portable Cooler,1,249.99,249.99,Asia,Credit Card
10121,2024/4/30,Electronics,Apple iPad Air,2,599.99,1199.98,North America,Credit Card
10122,2024/5/1,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,89.99,89.99,Europe,PayPal
10123,2024/5/2,Clothing,Forever 21 Graphic Tee,5,12.99,64.95,Asia,Debit Card
10124,2024/5/3,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,14.99,44.97,North America,Credit Card
10125,2024/5/4,Beauty Products,NARS Radiant Creamy Concealer,1,30,30,Europe,PayPal
10126,2024/5/5,Sports,Yeti Roadie 24 Cooler,1,199.99,199.99,Asia,Credit Card
10127,2024/5/6,Electronics,Sony PlayStation 5,1,499.99,499.99,North America,Credit Card
10128,2024/5/7,Home Appliances,Dyson Supersonic Hair Dryer,2,399.99,799.98,Europe,PayPal
10129,2024/5/8,Clothing,Lululemon Align Leggings,3,98,294,Asia,Debit Card
10130,2024/5/9,Books,The Four Agreements by Don Miguel Ruiz,2,8.99,17.98,North America,Credit Card
10131,2024/5/10,Beauty Products,Fenty Beauty Killawatt Highlighter,1,36,36,Europe,PayPal
10132,2024/5/11,Sports,Hydro Flask Wide Mouth Water Bottle,4,39.95,159.8,Asia,Credit Card
10133,2024/5/12,Electronics,Microsoft Surface Laptop 4,1,1299.99,1299.99,North America,Credit Card
10134,2024/5/13,Home Appliances,Keurig K-Mini Coffee Maker,2,79.99,159.98,Europe,PayPal
10135,2024/5/14,Clothing,Gap Crewneck Sweatshirt,4,34.99,139.96,Asia,Debit Card
10136,2024/5/15,Books,Think and Grow Rich by Napoleon Hill,3,9.99,29.97,North America,Credit Card
10137,2024/5/16,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,6.8,6.8,Europe,PayPal
10138,2024/5/17,Sports,Fitbit Inspire 2,2,99.95,199.9,Asia,Credit Card
10139,2024/5/18,Electronics,Samsung Odyssey G9 Gaming Monitor,1,1499.99,1499.99,North America,Credit Card
10140,2024/5/19,Home Appliances,Instant Pot Ultra,1,139.99,139.99,Europe,PayPal
10141,2024/5/20,Clothing,Adidas Essential Track Pants,3,44.99,134.97,Asia,Debit Card
10142,2024/5/21,Books,The Power of Habit by Charles Duhigg,2,11.99,23.98,North America,Credit Card
10143,2024/5/22,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,29.5,29.5,Europe,PayPal
10144,2024/5/23,Sports,YETI Tundra 45 Cooler,1,299.99,299.99,Asia,Credit Card
10145,2024/5/24,Electronics,Apple AirPods Max,1,549,549,North America,Credit Card
10146,2024/5/25,Home Appliances,Cuisinart Coffee Center,2,199.95,399.9,Europe,PayPal
10147,2024/5/26,Clothing,Levi's Sherpa Trucker Jacket,2,98,196,Asia,Debit Card
10148,2024/5/27,Books,The Outsiders by S.E. Hinton,3,10.99,32.97,North America,Credit Card
10149,2024/5/28,Beauty Products,Laneige Water Sleeping Mask,1,25,25,Europe,PayPal
10150,2024/5/29,Sports,Bose SoundSport Wireless Earbuds,2,149.99,299.98,Asia,Credit Card
10151,2024/5/30,Electronics,Sony WH-1000XM4 Headphones,1,349.99,349.99,North America,Credit Card
10152,2024/5/31,Home Appliances,Ninja Foodi Pressure Cooker,2,199.99,399.98,Europe,PayPal
10153,2024/6/1,Clothing,Nike Sportswear Club Fleece Hoodie,3,54.99,164.97,Asia,Debit Card
10154,2024/6/2,Books,The Night Circus by Erin Morgenstern,2,16.99,33.98,North America,Credit Card
10155,2024/6/3,Beauty Products,GlamGlow Supermud Clearing Treatment,1,59,59,Europe,PayPal
10156,2024/6/4,Sports,Garmin Forerunner 245,1,299.99,299.99,Asia,Credit Card
10157,2024/6/5,Electronics,Google Pixel 6 Pro,1,899.99,899.99,North America,Credit Card
10158,2024/6/6,Home Appliances,Breville Nespresso Creatista Plus,1,499.95,499.95,Europe,PayPal
10159,2024/6/7,Clothing,Under Armour Tech 2.0 T-Shirt,4,24.99,99.96,Asia,Debit Card
10160,2024/6/8,Books,The Art of War by Sun Tzu,3,7.99,23.97,North America,Credit Card
10161,2024/6/9,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,36,36,Europe,PayPal
10162,2024/6/10,Sports,TriggerPoint GRID Foam Roller,2,34.99,69.98,Asia,Credit Card
10163,2024/6/11,Electronics,Apple MacBook Air,1,1199.99,1199.99,North America,Credit Card
10164,2024/6/12,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,199.99,199.99,Europe,PayPal
10165,2024/6/13,Clothing,Adidas 3-Stripes Shorts,5,29.99,149.95,Asia,Debit Card
10166,2024/6/14,Books,The Hunger Games by Suzanne Collins,4,8.99,35.96,North America,Credit Card
10167,2024/6/15,Beauty Products,Neutrogena Hydro Boost Water Gel,1,16.99,16.99,Europe,PayPal
10168,2024/6/16,Sports,Yeti Rambler Bottle,3,49.99,149.97,Asia,Credit Card
10169,2024/6/17,Electronics,Samsung Odyssey G7 Gaming Monitor,1,699.99,699.99,North America,Credit Card
10170,2024/6/18,Home Appliances,Instant Pot Duo Evo Plus,2,139.99,279.98,Europe,PayPal
10171,2024/6/19,Clothing,Nike Tempo Running Shorts,3,34.99,104.97,Asia,Debit Card
10172,2024/6/20,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2,9.99,19.98,North America,Credit Card
10173,2024/6/21,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,29.5,29.5,Europe,PayPal
10174,2024/6/22,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1,699.99,699.99,Asia,Credit Card
10175,2024/6/23,Electronics,Amazon Fire TV Stick 4K,3,49.99,149.97,North America,Credit Card
10176,2024/6/24,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,49.99,99.98,Europe,PayPal
10177,2024/6/25,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,14.9,59.6,Asia,Debit Card
10178,2024/6/26,Books,The Sun Also Rises by Ernest Hemingway,3,11.99,35.97,North America,Credit Card
10179,2024/6/27,Beauty Products,First Aid Beauty Ultra Repair Cream,2,34,68,Europe,PayPal
10180,2024/6/28,Sports,Oakley Holbrook Sunglasses,1,146,146,Asia,Credit Card
10181,2024/6/29,Electronics,Google Pixelbook Go,1,649.99,649.99,North America,Credit Card
10182,2024/6/30,Home Appliances,Dyson V8 Absolute,1,399.99,399.99,Europe,PayPal
10183,2024/7/1,Clothing,Levi's 511 Slim Fit Jeans,3,59.99,179.97,Asia,Debit Card
10184,2024/7/2,Books,The Martian by Andy Weir,2,12.99,25.98,North America,Credit Card
10185,2024/7/3,Beauty Products,La Mer Crème de la Mer Moisturizer,1,190,190,Europe,PayPal
10186,2024/7/4,Sports,Polar Vantage V2,1,499.95,499.95,Asia,Credit Card
10187,2024/7/5,Electronics,Sonos Beam Soundbar,1,399,399,North America,Credit Card
10188,2024/7/6,Home Appliances,Anova Precision Cooker,2,199,398,Europe,PayPal
10189,2024/7/7,Clothing,Nike Dri-FIT Training Shorts,4,34.99,139.96,Asia,Debit Card
10190,2024/7/8,Books,The Catcher in the Rye by J.D. Salinger,3,10.99,32.97,North America,Credit Card
10191,2024/7/9,Beauty Products,Glossier Cloud Paint,1,18,18,Europe,PayPal
10192,2024/7/10,Sports,TRX All-in-One Suspension Training System,1,169.95,169.95,Asia,Credit Card
10193,2024/7/11,Electronics,Logitech G Pro X Wireless Gaming Headset,1,199.99,199.99,North America,Credit Card
10194,2024/7/12,Home Appliances,Breville Smart Coffee Grinder Pro,1,199.95,199.95,Europe,PayPal
10195,2024/7/13,Clothing,Adidas Ultraboost Running Shoes,2,179.99,359.98,Asia,Debit Card
10196,2024/7/14,Books,The Road by Cormac McCarthy,2,11.99,23.98,North America,Credit Card
10197,2024/7/15,Beauty Products,Tom Ford Black Orchid Perfume,1,125,125,Europe,PayPal
10198,2024/7/16,Sports,GoPro HERO9 Black,1,449.99,449.99,Asia,Credit Card
10199,2024/7/17,Electronics,Apple TV 4K,2,179,358,North America,Credit Card
10200,2024/7/18,Home Appliances,Instant Pot Duo Nova,1,99.95,99.95,Europe,PayPal
10201,2024/7/19,Clothing,Gap 1969 Original Fit Jeans,3,59.99,179.97,Asia,Debit Card
10202,2024/7/20,Books,The Goldfinch by Donna Tartt,2,14.99,29.98,North America,Credit Card
10203,2024/7/21,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1,52,52,Europe,PayPal
10204,2024/7/22,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1,399.99,399.99,Asia,Credit Card
10205,2024/7/23,Electronics,Samsung Galaxy Watch 4,1,299.99,299.99,North America,Credit Card
10206,2024/7/24,Home Appliances,KitchenAid Stand Mixer,1,379.99,379.99,Europe,PayPal
10207,2024/7/25,Clothing,Lululemon Wunder Under High-Rise Leggings,2,98,196,Asia,Debit Card
10208,2024/7/26,Books,The Great Alone by Kristin Hannah,3,16.99,50.97,North America,Credit Card
10209,2024/7/27,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,79,79,Europe,PayPal
10210,2024/7/28,Sports,Bose SoundLink Color Bluetooth Speaker II,1,129,129,Asia,Credit Card
10211,2024/7/29,Electronics,Canon EOS Rebel T7i DSLR Camera,1,749.99,749.99,North America,Credit Card
10212,2024/7/30,Home Appliances,Keurig K-Elite Coffee Maker,2,169.99,339.98,Europe,PayPal
10213,2024/7/31,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,9.9,39.6,Asia,Debit Card
10214,2024/8/1,Books,The Girl with the Dragon Tattoo by Stieg Larsson,3,10.99,32.97,North America,Credit Card
10215,2024/8/2,Beauty Products,L'Occitane Shea Butter Hand Cream,2,29,58,Europe,PayPal
10216,2024/8/3,Sports,YETI Tundra 65 Cooler,1,349.99,349.99,Asia,Credit Card
10217,2024/8/4,Electronics,Apple MacBook Pro 16-inch,1,2399,2399,North America,Credit Card
10218,2024/8/5,Home Appliances,iRobot Braava Jet M6,1,449.99,449.99,Europe,PayPal
10219,2024/8/6,Clothing,Champion Reverse Weave Hoodie,3,49.99,149.97,Asia,Debit Card
10220,2024/8/7,Books,The Nightingale by Kristin Hannah,2,12.99,25.98,North America,Credit Card
10221,2024/8/8,Beauty Products,Tarte Shape Tape Concealer,1,27,27,Europe,PayPal
10222,2024/8/9,Sports,Garmin Forerunner 945,1,599.99,599.99,Asia,Credit Card
10223,2024/8/10,Electronics,Amazon Echo Dot (4th Gen),4,49.99,199.96,North America,Credit Card
10224,2024/8/11,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,229.99,459.98,Europe,PayPal
10225,2024/8/12,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2,44.99,89.98,Asia,Debit Card
10226,2024/8/13,Books,The Silent Patient by Alex Michaelides,3,26.99,80.97,North America,Credit Card
10227,2024/8/14,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,6.7,6.7,Europe,PayPal
10228,2024/8/15,Sports,Fitbit Luxe,2,149.95,299.9,Asia,Credit Card
10229,2024/8/16,Electronics,Google Nest Wifi Router,1,169,169,North America,Credit Card
10230,2024/8/17,Home Appliances,Anova Precision Oven,1,599,599,Europe,PayPal
10231,2024/8/18,Clothing,Adidas Originals Trefoil Hoodie,4,64.99,259.96,Asia,Debit Card
10232,2024/8/19,Books,Dune by Frank Herbert,2,9.99,19.98,North America,Credit Card
10233,2024/8/20,Beauty Products,Fresh Sugar Lip Treatment,1,24,24,Europe,PayPal
10234,2024/8/21,Sports,Hydro Flask Standard Mouth Water Bottle,3,32.95,98.85,Asia,Credit Card
10235,2024/8/22,Electronics,Bose QuietComfort 35 II Wireless Headphones,1,299,299,North America,Credit Card
10236,2024/8/23,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1,159.99,159.99,Europe,PayPal
10237,2024/8/24,Clothing,Nike Air Force 1 Sneakers,3,90,270,Asia,Debit Card
10238,2024/8/25,Books,The Handmaid's Tale by Margaret Atwood,3,10.99,32.97,North America,Credit Card
10239,2024/8/26,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1,55,55,Europe,PayPal
10240,2024/8/27,Sports,Yeti Rambler 20 oz Tumbler,2,29.99,59.98,Asia,Credit Card